name,attributes_cyl_path,agency_maint,inc_crc,fmel_upd_d,length_m,longitude,latitude
kml_174,Pasir Ris,LTA (Others),9ADE3B2537BCDE2E,2022-02-16 13:57:18,1.3304048471925327,103.96092011636053,1.37404919767196
kml_175,Pasir Ris,LTA (Others),801FF0134D0BBA29,2022-02-16 13:57:18,7.037176472890377,103.960994564185,1.374378796086545
kml_176,Pasir Ris,LTA (Others),3F367D450AA5EB7B,2022-02-16 13:57:18,478.0519979905571,103.95901036565992,1.3752891075042109
kml_177,Pasir Ris,LTA (Others),516DBF93EFB22C62,2022-02-16 13:57:18,103.48708334935041,103.95641005629197,1.3753397157173892
kml_178,Pasir Ris,LTA (Others),EBE628E43B06193F,2022-02-16 13:57:18,38.23931361131124,103.95973552285629,1.3677232099355672
kml_179,Pasir Ris,LTA (Others),52F1AE73B89567D4,2022-02-16 13:57:18,1.6227417156103,103.96270644208201,1.365197657309365
kml_180,Pasir Ris,LTA (Others),065FE939EE906707,2022-02-16 13:57:18,1.5558495009613151,103.9629238353065,1.3649780885930598
kml_181,Pasir Ris,LTA (Others),AE90F40914D1AFB0,2022-02-16 13:57:18,45.36888599366766,103.9631751025915,1.364724306454995
kml_182,Pasir Ris,LTA (Others),E0A63C9ADEF0B070,2022-02-16 13:57:18,1.5801738956495355,103.9634688301735,1.3644276389548553
kml_183,Pasir Ris,LTA (Others),618897E087B47903,2022-02-16 13:57:18,1.4722634510822117,103.9636985412785,1.3642085827350103
kml_184,Pasir Ris,LTA (Others),7E2048F471111FDB,2022-02-16 13:57:18,1.5693021350598775,103.9638776738895,1.3640483168558148
kml_185,Pasir Ris,LTA (Others),F18288B44BCC584C,2022-02-16 13:57:18,1.5233910348311996,103.964092886925,1.3638359903009052
kml_186,Pasir Ris,LTA (Others),B96B9FD89C6E31C3,2022-02-16 13:57:18,107.41452477215549,103.96517474606134,1.364520332967047
kml_187,Pasir Ris,LTA (Others),53A462C99591F4E0,2022-02-16 13:57:18,85.47606155437538,103.9645724799855,1.3638976113537697
kml_188,Pasir Ris,LTA (Others),AC82D80ED6DE1270,2022-02-16 13:57:18,34.405531277336024,103.96561243624603,1.3649837518249146
kml_189,Tampines,LTA (Others),ED5ADE975E679EA1,2022-02-16 13:57:18,1.9086635269548244,103.9539268280205,1.361904326775055
kml_190,Tampines,LTA (Others),435CD3671608A88B,2022-02-16 13:57:18,1.4281401895946073,103.9535353060025,1.36207681965895
kml_191,Tampines,LTA (Others),F3E6225A232B0B7F,2022-02-16 13:57:18,1.5729037378102537,103.953391621135,1.36210906331435
kml_192,Tampines,LTA (Others),F42A80E52ED3FB49,2022-02-16 13:57:18,26.48416371786304,103.95309116335099,1.362128487779915
kml_193,Tampines,LTA (Others),2FB027C9C6EEEFCB,2022-02-16 13:57:18,1.7206794962004586,103.9528606255715,1.36211006568211
kml_194,Tampines,LTA (Others),1A5FAD0714984A00,2022-02-16 13:57:18,1.6752876339278562,103.9526439095215,1.36205494294081
